Args: Namespace(data='data/enwik8/', model='LSTM', emsize=1024, nhid=4096, nlayers=4, lr=0.01, clip=0.25, epochs=20, batch_size=16, bptt=1024, warmup=3000, cooldown=None, accumulate=4, dropout=0.3, dropouth=0.3, dropouti=0.3, dropoute=0.1, wdrop=0.0, seed=5512, nonmono=5, cuda=True, log_interval=300, save='sha_cuda_1head_logweight_Odiv10_10k_fastem_hisattn.pt', alpha=2, beta=1, wdecay=1.2e-06, resume='', optimizer='adamw', when=[-1], ce_weight=True, tied=True)
Model total parameters: 101874701
| epoch   0 | 10500/10519 batches | lr 0.00876 | ms/batch 747.51 | loss  2.65 | ppl    14.18 | bpc    3.826 | acc 0.37839 | tag_acc 0.04972
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 8501.58s | valid loss  2.94 | valid ppl    19.00 | valid bpc    4.248 | valid acc 0.00275 | valid tag acc 0.03571
-----------------------------------------------------------------------------------------
Saving model (new best validation)
| epoch   1 |   300/10519 batches | lr 0.00902 | ms/batch 761.87 | loss  2.80 | ppl    16.50 | bpc    4.044 | acc 0.32882 | tag_acc 0.06983
| epoch   1 |   600/10519 batches | lr 0.00927 | ms/batch 757.95 | loss  2.74 | ppl    15.48 | bpc    3.952 | acc 0.23479 | tag_acc 0.07558
| epoch   1 |   900/10519 batches | lr 0.00952 | ms/batch 752.63 | loss  2.74 | ppl    15.42 | bpc    3.947 | acc 0.26994 | tag_acc 0.07941
| epoch   1 |  1200/10519 batches | lr 0.00977 | ms/batch 778.00 | loss  2.84 | ppl    17.15 | bpc    4.100 | acc 0.31077 | tag_acc 0.06712
| epoch   1 |  1500/10519 batches | lr 0.01000 | ms/batch 774.70 | loss  2.76 | ppl    15.78 | bpc    3.980 | acc 0.30675 | tag_acc 0.06863
| epoch   1 |  1800/10519 batches | lr 0.01000 | ms/batch 632.27 | loss  2.73 | ppl    15.35 | bpc    3.940 | acc 0.35107 | tag_acc 0.06753
| epoch   1 |  2100/10519 batches | lr 0.01000 | ms/batch 763.56 | loss  2.81 | ppl    16.64 | bpc    4.057 | acc 0.21436 | tag_acc 0.08300
| epoch   1 |  2400/10519 batches | lr 0.01000 | ms/batch 725.68 | loss  2.89 | ppl    17.91 | bpc    4.162 | acc 0.22443 | tag_acc 0.07311
| epoch   1 |  2700/10519 batches | lr 0.00999 | ms/batch 758.58 | loss  2.96 | ppl    19.22 | bpc    4.264 | acc 0.30325 | tag_acc 0.07390
| epoch   1 |  3000/10519 batches | lr 0.00999 | ms/batch 774.51 | loss  2.98 | ppl    19.76 | bpc    4.304 | acc 0.18611 | tag_acc 0.08931
| epoch   1 |  3300/10519 batches | lr 0.00998 | ms/batch 736.29 | loss  2.96 | ppl    19.24 | bpc    4.266 | acc 0.28732 | tag_acc 0.07878
| epoch   1 |  3600/10519 batches | lr 0.00997 | ms/batch 764.17 | loss  3.00 | ppl    19.99 | bpc    4.321 | acc 0.17858 | tag_acc 0.07574
| epoch   1 |  3900/10519 batches | lr 0.00997 | ms/batch 728.33 | loss  2.91 | ppl    18.39 | bpc    4.201 | acc 0.11943 | tag_acc 0.08783
| epoch   1 |  4200/10519 batches | lr 0.00996 | ms/batch 772.99 | loss  3.03 | ppl    20.75 | bpc    4.375 | acc 0.25661 | tag_acc 0.06681
| epoch   1 |  4500/10519 batches | lr 0.00995 | ms/batch 731.65 | loss  2.88 | ppl    17.86 | bpc    4.158 | acc 0.21832 | tag_acc 0.09196
| epoch   1 |  4800/10519 batches | lr 0.00994 | ms/batch 777.51 | loss  2.96 | ppl    19.30 | bpc    4.271 | acc 0.20562 | tag_acc 0.07577
| epoch   1 |  5100/10519 batches | lr 0.00993 | ms/batch 799.83 | loss  3.02 | ppl    20.45 | bpc    4.354 | acc 0.21137 | tag_acc 0.06704
| epoch   1 |  5400/10519 batches | lr 0.00991 | ms/batch 773.62 | loss  3.03 | ppl    20.64 | bpc    4.368 | acc 0.27084 | tag_acc 0.07292
| epoch   1 |  5700/10519 batches | lr 0.00990 | ms/batch 750.79 | loss  3.07 | ppl    21.53 | bpc    4.429 | acc 0.21133 | tag_acc 0.08097
| epoch   1 |  6000/10519 batches | lr 0.00988 | ms/batch 810.68 | loss  2.99 | ppl    19.92 | bpc    4.316 | acc 0.21670 | tag_acc 0.08276
| epoch   1 |  6300/10519 batches | lr 0.00987 | ms/batch 764.17 | loss  3.24 | ppl    25.42 | bpc    4.668 | acc 0.26128 | tag_acc 0.06822
| epoch   1 |  6600/10519 batches | lr 0.00985 | ms/batch 768.90 | loss  3.07 | ppl    21.55 | bpc    4.430 | acc 0.21485 | tag_acc 0.07075
| epoch   1 |  6900/10519 batches | lr 0.00983 | ms/batch 788.56 | loss  3.16 | ppl    23.59 | bpc    4.560 | acc 0.17963 | tag_acc 0.08341
| epoch   1 |  7200/10519 batches | lr 0.00982 | ms/batch 730.80 | loss  3.24 | ppl    25.47 | bpc    4.670 | acc 0.14550 | tag_acc 0.08465
| epoch   1 |  7500/10519 batches | lr 0.00980 | ms/batch 712.91 | loss  3.14 | ppl    23.08 | bpc    4.528 | acc 0.19493 | tag_acc 0.08168
| epoch   1 |  7800/10519 batches | lr 0.00978 | ms/batch 791.07 | loss  3.00 | ppl    20.14 | bpc    4.332 | acc 0.21952 | tag_acc 0.07839
| epoch   1 |  8100/10519 batches | lr 0.00975 | ms/batch 725.00 | loss  2.98 | ppl    19.77 | bpc    4.305 | acc 0.35051 | tag_acc 0.06768
| epoch   1 |  8400/10519 batches | lr 0.00973 | ms/batch 740.75 | loss  2.81 | ppl    16.57 | bpc    4.051 | acc 0.39486 | tag_acc 0.06047
| epoch   1 |  8700/10519 batches | lr 0.00971 | ms/batch 726.27 | loss  2.73 | ppl    15.36 | bpc    3.941 | acc 0.31140 | tag_acc 0.07295
| epoch   1 |  9000/10519 batches | lr 0.00968 | ms/batch 749.74 | loss  2.58 | ppl    13.22 | bpc    3.725 | acc 0.44249 | tag_acc 0.06523
| epoch   1 |  9300/10519 batches | lr 0.00966 | ms/batch 765.40 | loss  2.58 | ppl    13.13 | bpc    3.715 | acc 0.23578 | tag_acc 0.09426
| epoch   1 |  9600/10519 batches | lr 0.00963 | ms/batch 751.94 | loss  2.55 | ppl    12.77 | bpc    3.675 | acc 0.42154 | tag_acc 0.04666
| epoch   1 |  9900/10519 batches | lr 0.00960 | ms/batch 770.27 | loss  2.47 | ppl    11.87 | bpc    3.569 | acc 0.32970 | tag_acc 0.09156
| epoch   1 | 10200/10519 batches | lr 0.00958 | ms/batch 751.52 | loss  2.48 | ppl    11.94 | bpc    3.578 | acc 0.45362 | tag_acc 0.05982
| epoch   1 | 10500/10519 batches | lr 0.00955 | ms/batch 737.50 | loss  2.43 | ppl    11.38 | bpc    3.509 | acc 0.58435 | tag_acc 0.05451
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 8395.65s | valid loss  2.42 | valid ppl    11.21 | valid bpc    3.487 | valid acc 0.00236 | valid tag acc 0.04143
-----------------------------------------------------------------------------------------
Saving model (new best validation)
| epoch   2 |   300/10519 batches | lr 0.00951 | ms/batch 626.61 | loss  2.44 | ppl    11.43 | bpc    3.515 | acc 0.61116 | tag_acc 0.03164
| epoch   2 |   600/10519 batches | lr 0.00948 | ms/batch 622.41 | loss  2.48 | ppl    11.96 | bpc    3.580 | acc 0.53711 | tag_acc 0.05444
| epoch   2 |   900/10519 batches | lr 0.00945 | ms/batch 744.20 | loss  2.49 | ppl    12.02 | bpc    3.587 | acc 0.65631 | tag_acc 0.03551
| epoch   2 |  1200/10519 batches | lr 0.00942 | ms/batch 785.85 | loss  2.46 | ppl    11.66 | bpc    3.544 | acc 0.62776 | tag_acc 0.02419
| epoch   2 |  1500/10519 batches | lr 0.00938 | ms/batch 833.07 | loss  2.44 | ppl    11.49 | bpc    3.522 | acc 0.66748 | tag_acc 0.04346
| epoch   2 |  1800/10519 batches | lr 0.00935 | ms/batch 791.13 | loss  2.43 | ppl    11.41 | bpc    3.512 | acc 0.66795 | tag_acc 0.03862
| epoch   2 |  2100/10519 batches | lr 0.00931 | ms/batch 781.71 | loss  2.44 | ppl    11.46 | bpc    3.519 | acc 0.55294 | tag_acc 0.04864
| epoch   2 |  2400/10519 batches | lr 0.00928 | ms/batch 777.31 | loss  2.47 | ppl    11.79 | bpc    3.560 | acc 0.47895 | tag_acc 0.04732
| epoch   2 |  2700/10519 batches | lr 0.00924 | ms/batch 772.32 | loss  2.42 | ppl    11.20 | bpc    3.485 | acc 0.88019 | tag_acc 0.00755
| epoch   2 |  3000/10519 batches | lr 0.00920 | ms/batch 808.19 | loss  2.46 | ppl    11.65 | bpc    3.542 | acc 0.57852 | tag_acc 0.05528
