Args: Namespace(accumulate=4, alpha=2, batch_size=16, beta=1, bptt=1024, ce_weight=True, clip=0.25, cooldown=None, criterion='MSE', cuda=True, data='data/enwik8/', dropout=0.3, dropoute=0.1, dropouth=0.3, dropouti=0.3, emsize=1024, epochs=15, language_model=False, log_interval=300, lr=0.0004, model='BERT', nhid=4096, nlayers=4, nonmono=5, optimizer='adamw', resume='', save='BERT.pt', seed=5512, tied=True, warmup=3000, wdecay=1.2e-06, wdrop=0.0, when=[-1])
Model total parameters: 37327885
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 714.08s | valid loss  0.45 | valid ppl     1.57 | valid bpc    0.654 | valid acc 0.95821 | valid tag acc 0.82268
-----------------------------------------------------------------------------------------
Saving model (new best validation)
| epoch   1 |   300/10519 batches | lr 0.00036 | ms/batch 64.65 | loss  0.41 | ppl     1.51 | bpc    0.596 | acc 0.96620 | tag_acc 0.83888
| epoch   1 |   600/10519 batches | lr 0.00037 | ms/batch 65.01 | loss  0.44 | ppl     1.56 | bpc    0.639 | acc 0.95602 | tag_acc 0.84215
| epoch   1 |   900/10519 batches | lr 0.00038 | ms/batch 64.60 | loss  0.48 | ppl     1.62 | bpc    0.692 | acc 0.95690 | tag_acc 0.82770
| epoch   1 |  1200/10519 batches | lr 0.00039 | ms/batch 65.43 | loss  0.44 | ppl     1.55 | bpc    0.630 | acc 0.95894 | tag_acc 0.83769
| epoch   1 |  1500/10519 batches | lr 0.00040 | ms/batch 65.34 | loss  0.43 | ppl     1.54 | bpc    0.623 | acc 0.96140 | tag_acc 0.82714
| epoch   1 |  1800/10519 batches | lr 0.00040 | ms/batch 65.62 | loss  0.43 | ppl     1.54 | bpc    0.622 | acc 0.95560 | tag_acc 0.83852
| epoch   1 |  2100/10519 batches | lr 0.00040 | ms/batch 65.40 | loss  0.45 | ppl     1.56 | bpc    0.646 | acc 0.96253 | tag_acc 0.84018
| epoch   1 |  2400/10519 batches | lr 0.00040 | ms/batch 65.30 | loss  0.46 | ppl     1.58 | bpc    0.660 | acc 0.95786 | tag_acc 0.82894
| epoch   1 |  2700/10519 batches | lr 0.00040 | ms/batch 65.39 | loss  0.44 | ppl     1.55 | bpc    0.628 | acc 0.96468 | tag_acc 0.83137
| epoch   1 |  3000/10519 batches | lr 0.00040 | ms/batch 64.88 | loss  0.39 | ppl     1.48 | bpc    0.566 | acc 0.96544 | tag_acc 0.85225
| epoch   1 |  3300/10519 batches | lr 0.00040 | ms/batch 65.20 | loss  0.37 | ppl     1.45 | bpc    0.538 | acc 0.96301 | tag_acc 0.84165
| epoch   1 |  3600/10519 batches | lr 0.00040 | ms/batch 65.14 | loss  0.40 | ppl     1.49 | bpc    0.576 | acc 0.96487 | tag_acc 0.84669
| epoch   1 |  3900/10519 batches | lr 0.00040 | ms/batch 64.76 | loss  0.37 | ppl     1.45 | bpc    0.534 | acc 0.96795 | tag_acc 0.86408
| epoch   1 |  4200/10519 batches | lr 0.00040 | ms/batch 65.08 | loss  0.29 | ppl     1.34 | bpc    0.425 | acc 0.97173 | tag_acc 0.88308
| epoch   1 |  4500/10519 batches | lr 0.00040 | ms/batch 64.09 | loss  0.34 | ppl     1.40 | bpc    0.486 | acc 0.97075 | tag_acc 0.87502
| epoch   1 |  4800/10519 batches | lr 0.00040 | ms/batch 65.25 | loss  0.32 | ppl     1.38 | bpc    0.463 | acc 0.96671 | tag_acc 0.86336
| epoch   1 |  5100/10519 batches | lr 0.00039 | ms/batch 65.75 | loss  0.35 | ppl     1.42 | bpc    0.510 | acc 0.97251 | tag_acc 0.86918
| epoch   1 |  5400/10519 batches | lr 0.00039 | ms/batch 64.67 | loss  0.32 | ppl     1.37 | bpc    0.458 | acc 0.97121 | tag_acc 0.88199
| epoch   1 |  5700/10519 batches | lr 0.00039 | ms/batch 65.52 | loss  0.37 | ppl     1.45 | bpc    0.533 | acc 0.96902 | tag_acc 0.86107
| epoch   1 |  6000/10519 batches | lr 0.00039 | ms/batch 65.35 | loss  0.35 | ppl     1.42 | bpc    0.506 | acc 0.96648 | tag_acc 0.86263
| epoch   1 |  6300/10519 batches | lr 0.00039 | ms/batch 65.57 | loss  0.31 | ppl     1.37 | bpc    0.451 | acc 0.97574 | tag_acc 0.89037
| epoch   1 |  6600/10519 batches | lr 0.00039 | ms/batch 65.43 | loss  0.29 | ppl     1.34 | bpc    0.417 | acc 0.97140 | tag_acc 0.88029
| epoch   1 |  6900/10519 batches | lr 0.00039 | ms/batch 65.50 | loss  0.35 | ppl     1.42 | bpc    0.510 | acc 0.96737 | tag_acc 0.86371
| epoch   1 |  7200/10519 batches | lr 0.00039 | ms/batch 65.58 | loss  0.25 | ppl     1.29 | bpc    0.366 | acc 0.97550 | tag_acc 0.90817
