Args: Namespace(data='data/enwik8/', model='BERT', emsize=1024, nhid=4096, nlayers=4, lr=0.001, clip=0.25, epochs=15, batch_size=16, bptt=1024, warmup=3000, cooldown=None, accumulate=4, dropout=0.3, dropouth=0.3, dropouti=0.3, dropoute=0.1, wdrop=0.0, seed=5512, nonmono=5, cuda=True, log_interval=300, save='bert.pt', alpha=2, beta=1, wdecay=1.2e-06, resume='', optimizer='adamw', when=[-1], ce_weight=True, language_model=False, criterion='MSE', tied=True)
Model total parameters: 37327885
| epoch   0 | 10500/10519 batches | lr 0.00088 | ms/batch 352.80 | loss 1136.90 | ppl  1136.90 | bpc 1640.207 | acc 0.20721 | tag_acc 0.08480
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 2746.64s | valid loss 169.56 | valid ppl 43649253434008307504396664175070721283862110293693910439307234406962298880.00 | valid bpc  244.627 | valid acc 0.00383 | valid tag acc 0.10372
-----------------------------------------------------------------------------------------
Saving model (new best validation)
| epoch   1 |   300/10519 batches | lr 0.00090 | ms/batch 352.26 | loss 12666.52 | ppl 12666.52 | bpc 18273.927 | acc 0.13169 | tag_acc 0.07786
| epoch   1 |   600/10519 batches | lr 0.00093 | ms/batch 352.47 | loss 3865.05 | ppl  3865.05 | bpc 5576.094 | acc 0.17937 | tag_acc 0.06785
| epoch   1 |   900/10519 batches | lr 0.00095 | ms/batch 350.85 | loss 70818.41 | ppl 70818.41 | bpc 102169.374 | acc 0.25098 | tag_acc 0.07106
| epoch   1 |  1200/10519 batches | lr 0.00098 | ms/batch 262.92 | loss 187212.67 | ppl 187212.67 | bpc 270090.786 | acc 0.28784 | tag_acc 0.08863
| epoch   1 |  1500/10519 batches | lr 0.00100 | ms/batch 94.83 | loss 3772.60 | ppl  3772.60 | bpc 5442.705 | acc 0.10219 | tag_acc 0.08321
| epoch   1 |  1800/10519 batches | lr 0.00100 | ms/batch 107.49 | loss 57826.15 | ppl 57826.15 | bpc 83425.505 | acc 0.15071 | tag_acc 0.07177
| epoch   1 |  2100/10519 batches | lr 0.00100 | ms/batch 107.25 | loss 1470.03 | ppl  1470.03 | bpc 2120.810 | acc 0.10209 | tag_acc 0.07898
| epoch   1 |  2400/10519 batches | lr 0.00100 | ms/batch 91.86 | loss 774.53 | ppl   774.53 | bpc 1117.415 | acc 0.12801 | tag_acc 0.09267
| epoch   1 |  2700/10519 batches | lr 0.00100 | ms/batch 95.75 | loss 119.08 | ppl 5204655359230133057272903641706975115391344647864320.00 | bpc  171.798 | acc 0.24420 | tag_acc 0.07064
| epoch   1 |  3000/10519 batches | lr 0.00100 | ms/batch 336.40 | loss 417.51 | ppl 20913322290623176741722997761840536070657620379891786416654993980619261504609861965336631757842731147664275240285229034697343672229777615014277425446765433465966475025072022999793664.00 | bpc  602.333 | acc 0.17055 | tag_acc 0.07905
| epoch   1 |  3300/10519 batches | lr 0.00100 | ms/batch 361.84 | loss 260.93 | ppl 209761536353349600943937978351274022767826127894358680411440554936151160828029916151535981582670554994236173844480.00 | bpc  376.447 | acc 0.24888 | tag_acc 0.06615
| epoch   1 |  3600/10519 batches | lr 0.00100 | ms/batch 118.09 | loss 736.18 | ppl   736.18 | bpc 1062.083 | acc 0.19208 | tag_acc 0.08537
| epoch   1 |  3900/10519 batches | lr 0.00099 | ms/batch 143.15 | loss 33.27 | ppl 280449661413043.22 | bpc   47.995 | acc 0.16209 | tag_acc 0.10512
| epoch   1 |  4200/10519 batches | lr 0.00099 | ms/batch 357.15 | loss 80.28 | ppl 73206607346965144739080869060280320.00 | bpc  115.818 | acc 0.14613 | tag_acc 0.09746
| epoch   1 |  4500/10519 batches | lr 0.00099 | ms/batch 361.31 | loss 29.03 | ppl 4061148694344.57 | bpc   41.885 | acc 0.20596 | tag_acc 0.10284
| epoch   1 |  4800/10519 batches | lr 0.00099 | ms/batch 273.94 | loss 18.97 | ppl 173068142.73 | bpc   27.367 | acc 0.13049 | tag_acc 0.07806
| epoch   1 |  5100/10519 batches | lr 0.00099 | ms/batch 171.49 | loss 33.18 | ppl 255769938639614.88 | bpc   47.862 | acc 0.10837 | tag_acc 0.09297
| epoch   1 |  5400/10519 batches | lr 0.00098 | ms/batch 272.49 | loss 12.86 | ppl 384501.18 | bpc   18.553 | acc 0.31486 | tag_acc 0.07763
| epoch   1 |  5700/10519 batches | lr 0.00098 | ms/batch 297.32 | loss 103.87 | ppl 1287447660492283165156339356133407220545093632.00 | bpc  149.851 | acc 0.17598 | tag_acc 0.08491
| epoch   1 |  6000/10519 batches | lr 0.00098 | ms/batch 362.06 | loss 36.07 | ppl 4609149116510108.00 | bpc   52.033 | acc 0.28769 | tag_acc 0.05099
| epoch   1 |  6300/10519 batches | lr 0.00098 | ms/batch 361.54 | loss  7.59 | ppl  1977.74 | bpc   10.950 | acc 0.25278 | tag_acc 0.08771
| epoch   1 |  6600/10519 batches | lr 0.00097 | ms/batch 358.92 | loss 36.17 | ppl 5130608438423551.00 | bpc   52.188 | acc 0.28176 | tag_acc 0.07060
| epoch   1 |  6900/10519 batches | lr 0.00097 | ms/batch 387.88 | loss 20.38 | ppl 708173635.73 | bpc   29.400 | acc 0.15808 | tag_acc 0.09820
| epoch   1 |  7200/10519 batches | lr 0.00097 | ms/batch 361.74 | loss  6.95 | ppl  1040.76 | bpc   10.023 | acc 0.36602 | tag_acc 0.04371
| epoch   1 |  7500/10519 batches | lr 0.00096 | ms/batch 364.03 | loss 11.16 | ppl 70398.20 | bpc   16.103 | acc 0.20303 | tag_acc 0.05777
| epoch   1 |  7800/10519 batches | lr 0.00096 | ms/batch 363.75 | loss  4.24 | ppl    69.20 | bpc    6.113 | acc 0.50995 | tag_acc 0.05416
| epoch   1 |  8100/10519 batches | lr 0.00095 | ms/batch 371.97 | loss 15.21 | ppl 4022923.89 | bpc   21.940 | acc 0.32908 | tag_acc 0.05893
| epoch   1 |  8400/10519 batches | lr 0.00095 | ms/batch 358.88 | loss  5.52 | ppl   250.28 | bpc    7.967 | acc 0.32321 | tag_acc 0.06935
| epoch   1 |  8700/10519 batches | lr 0.00095 | ms/batch 358.24 | loss  3.88 | ppl    48.38 | bpc    5.596 | acc 0.30407 | tag_acc 0.07951
| epoch   1 |  9000/10519 batches | lr 0.00094 | ms/batch 355.54 | loss  4.28 | ppl    71.93 | bpc    6.168 | acc 0.35741 | tag_acc 0.06105
| epoch   1 |  9300/10519 batches | lr 0.00094 | ms/batch 350.01 | loss  3.11 | ppl    22.47 | bpc    4.490 | acc 0.49269 | tag_acc 0.04763
| epoch   1 |  9600/10519 batches | lr 0.00093 | ms/batch 359.89 | loss  8.33 | ppl  4160.52 | bpc   12.023 | acc 0.30616 | tag_acc 0.04919
| epoch   1 |  9900/10519 batches | lr 0.00093 | ms/batch 363.79 | loss  3.95 | ppl    52.15 | bpc    5.705 | acc 0.33833 | tag_acc 0.06051
| epoch   1 | 10200/10519 batches | lr 0.00092 | ms/batch 358.26 | loss  3.41 | ppl    30.33 | bpc    4.923 | acc 0.45784 | tag_acc 0.06055
| epoch   1 | 10500/10519 batches | lr 0.00092 | ms/batch 356.33 | loss  8.54 | ppl  5103.10 | bpc   12.317 | acc 0.51169 | tag_acc 0.04022
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 3237.15s | valid loss  2.43 | valid ppl    11.39 | valid bpc    3.510 | valid acc 0.00399 | valid tag acc 0.10372
-----------------------------------------------------------------------------------------
